distancia_x,inclinacion
130830,0.0815
130936,0.082
131037,0.0706
131143,0.0692
131249,0.0377
131350,-0.0238
131459,-0.0622
131563,-0.0174
131670,-0.0215
131780,-0.0344
131882,-0.0542
131988,-0.0518
132097,-0.0514
132200,-0.0368
132305,0.0268
132410,0.0351
132514,-0.0116
132620,-0.0236
132720,-0.0259
132827,-0.0467
132945,-0.0494
133060,-0.0355
133180,-0.036
133283,-0.0281
133384,-0.0256
133497,-0.0186
133612,-0.0226
133726,-0.0123
133835,-0.0092
133939,-0.0067
134042,-0.001
134158,-0.0043
134273,-0.0052
134387,-0.0141
134493,-0.0161
134603,-0.0109
134717,-0.0114
134823,-0.0208
134936,-0.0168
135037,-0.0119
135140,-0.0185
135242,-0.0176
135343,-0.0148
135456,-0.0027
135565,-0.0009
135671,0.0019
135773,0.0088
135874,0.001
135988,-0.0026
136094,-0.0085
136202,-0.0138
136303,-0.0049
136417,-0.0159
136523,-0.0142
136633,0.0054
136737,0.0
136843,0.0
